요1:1 태초에말씀이계시니라이말씀이하나님과함께계셨으니이말씀은곧하나님이시니라
요1:2 그가태초에하나님과함께계셨고
요1:3 만물이그로말미암아지은바되었으니지은것이하나도그가없이는된것이없느니라
요1:4 그안에생명이있었으니이생명은사람들의빛이라
요1:5 빛이어둠에비치되어둠이깨닫지못하더라
요1:6 하나님께로부터보내심을받은사람이있으니그의이름은요한이라
요1:7 그가증언하러왔으니곧빛에대하여증언하고모든사람이자기로말미암아믿게하려함이라
요1:8 그는이빛이아니요이빛에대하여증언하러온자라
요1:9 참빛곧세상에와서각사람에게비추는빛이있었나니
요1:10 그가세상에계셨으며세상은그로말미암아지은바되었으되세상이그를알지못하였고
요1:11 자기땅에오매자기백성이영접하지아니하였으나
요1:12 영접하는자곧그이름을믿는자들에게는하나님의자녀가되는권세를주셨으니
요1:13 이는혈통으로나육정으로나사람의뜻으로나지아니하고오직하나님께로부터난자들이니라
요1:14 말씀이육신이되어우리가운데거하시매우리가그의영광을보니아버지의독생자의영광이요은혜와진리가충만하더라
요1:15 요한이그에대하여증언하여외쳐이르되내가전에말하기를내뒤에오시는이가나보다앞선것은나보다먼저계심이라한것이이사람을가리킴이라하니라
요1:16 우리가다그의충만한데서받으니은혜위에은혜러라
요1:17 율법은모세로말미암아주어진것이요은혜와진리는예수그리스도로말미암아온것이라
요1:18 본래하나님을본사람이없으되아버지품속에있는독생하신하나님이나타내셨느니라
요1:19 유대인들이예루살렘에서제사장들과레위인들을요한에게보내어네가누구냐물을때에요한의증언이이러하니라
요1:20 요한이드러내어말하고숨기지아니하니드러내어하는말이나는그리스도가아니라한대
요1:21 또묻되그러면누구냐네가엘리야냐이르되나는아니라또묻되네가그선지자냐대답하되아니라
요1:22 또말하되누구냐우리를보낸이들에게대답하게하라너는네게대하여무엇이라하느냐
요1:23 이르되나는선지자이사야의말과같이주의길을곧게하라고광야에서외치는자의소리로라하니라
요1:24 그들은바리새인들이보낸자라
요1:25 또물어이르되네가만일그리스도도아니요엘리야도아니요그선지자도아닐진대어찌하여세례를베푸느냐
요1:26 요한이대답하되나는물로세례를베풀거니와너희가운데너희가알지못하는한사람이섰으니
요1:27 곧내뒤에오시는그이라나는그의신발끈을풀기도감당하지못하겠노라하더라
요1:28 이일은요한이세례베풀던곳요단강건너편베다니에서일어난일이니라
요1:29 이튿날요한이예수께서자기에게나아오심을보고이르되보라세상죄를지고가는하나님의어린양이로다
요1:30 내가전에말하기를내뒤에오는사람이있는데나보다앞선것은그가나보다먼저계심이라한것이이사람을가리킴이라
요1:31 나도그를알지못하였으나내가와서물로세례를베푸는것은그를이스라엘에나타내려함이라하니라
요1:32 요한이또증언하여이르되내가보매성령이비둘기같이하늘로부터내려와서그의위에머물렀더라
요1:33 나도그를알지못하였으나나를보내어물로세례를베풀라하신그이가나에게말씀하시되성령이내려서누구위에든지머무는것을보거든그가곧성령으로세례를베푸는이인줄알라하셨기에
요1:34 내가보고그가하나님의아들이심을증언하였노라하니라
요1:35 또이튿날요한이자기제자중두사람과함께섰다가
요1:36 예수께서거니심을보고말하되보라하나님의어린양이로다
요1:37 두제자가그의말을듣고예수를따르거늘
요1:38 예수께서돌이켜그따르는것을보시고물어이르시되무엇을구하느냐이르되랍비여어디계시오니이까하니(랍비는번역하면선생이라)
요1:39 예수께서이르시되와서보라그러므로그들이가서계신데를보고그날함께거하니때가열시쯤되었더라
요1:40 요한의말을듣고예수를따르는두사람중의하나는시몬베드로의형제안드레라
요1:41 그가먼저자기의형제시몬을찾아말하되우리가메시야를만났다하고(메시야는번역하면그리스도라)
요1:42 데리고예수께로오니예수께서보시고이르시되네가요한의아들시몬이니장차게바라하리라하시니라(게바는번역하면베드로라)
요1:43 이튿날예수께서갈릴리로나가려하시다가빌립을만나이르시되나를따르라하시니
요1:44 빌립은안드레와베드로와한동네벳새다사람이라
요1:45 빌립이나다나엘을찾아이르되모세가율법에기록하였고여러선지자가기록한그이를우리가만났으니요셉의아들나사렛예수니라
요1:46 나다나엘이이르되나사렛에서무슨선한것이날수있느냐빌립이이르되와서보라하니라
요1:47 예수께서나다나엘이자기에게오는것을보시고그를가리켜이르시되보라이는참으로이스라엘사람이라그속에간사한것이없도다
요1:48 나다나엘이이르되어떻게나를아시나이까예수께서대답하여이르시되빌립이너를부르기전에네가무화과나무아래에있을때에보았노라
요1:49 나다나엘이대답하되랍비여당신은하나님의아들이시요당신은이스라엘의임금이로소이다
요1:50 예수께서대답하여이르시되내가너를무화과나무아래에서보았다하므로믿느냐이보다더큰일을보리라
요1:51 또이르시되진실로진실로너희에게이르노니하늘이열리고하나님의사자들이인자위에오르락내리락하는것을보리라하시니라
요2:1 사흘째되던날갈릴리가나에혼례가있어예수의어머니도거기계시고
요2:2 예수와그제자들도혼례에청함을받았더니
요2:3 포도주가떨어진지라예수의어머니가예수에게이르되저들에게포도주가없다하니
요2:4 예수께서이르시되여자여나와무슨상관이있나이까내때가아직이르지아니하였나이다
요2:5 그의어머니가하인들에게이르되너희에게무슨말씀을하시든지그대로하라하니라
요2:6 거기에유대인의정결예식을따라두세통드는돌항아리여섯이놓였는지라
요2:7 예수께서그들에게이르시되항아리에물을채우라하신즉아귀까지채우니
요2:8 이제는떠서연회장에게갖다주라하시매갖다주었더니
요2:9 연회장은물로된포도주를맛보고도어디서났는지알지못하되물떠온하인들은알더라연회장이신랑을불러
요2:10 말하되사람마다먼저좋은포도주를내고취한후에낮은것을내거늘그대는지금까지좋은포도주를두었도다하니라
요2:11 예수께서이첫표적을갈릴리가나에서행하여그의영광을나타내시매제자들이그를믿으니라
요2:12 그후에예수께서그어머니와형제들과제자들과함께가버나움으로내려가셨으나거기에여러날계시지는아니하시니라
요2:13 유대인의유월절이가까운지라예수께서예루살렘으로올라가셨더니
요2:14 성전안에서소와양과비둘기파는사람들과돈바꾸는사람들이앉아있는것을보시고
요2:15 노끈으로채찍을만드사양이나소를다성전에서내쫓으시고돈바꾸는사람들의돈을쏟으시며상을엎으시고
요2:16 비둘기파는사람들에게이르시되이것을여기서가져가라내아버지의집으로장사하는집을만들지말라하시니
요2:17 제자들이성경말씀에주의전을사모하는열심이나를삼키리라한것을기억하더라
요2:18 이에유대인들이대답하여예수께말하기를네가이런일을행하니무슨표적을우리에게보이겠느냐
요2:19 예수께서대답하여이르시되너희가이성전을헐라내가사흘동안에일으키리라
